C689067,FR0087,6.6,40000,22062021 09410400,PT. BANK PERMATA  TBK,PT. BANK PERMATA  TBK,CR-IB-PT. BANK PERMATA  TBK-00,BBBADEPO,null,OR,21019,21355367057,486863097
C689072,FR0087,6.6,50000,22062021 09420200,PT. BANK PERMATA  TBK,PT. BANK PERMATA  TBK,CR-IB-PT. BANK PERMATA  TBK-00,BBBADEPO,null,OR,26274,26694462822,608584662
C689086,FR0087,6.6,10000,22062021 09443500,PT. TRIMEGAH SEKURITAS INDONESIA,PT. BANK MANDIRI (PERSERO)  TBK,CR-SC-BANK MANDIRI SUB REGISTRY - INVESTOR-Trimegah,BMRIINVT-DEPO,null,OR,5255,5339095765,121721565
C689136,FR0087,6.6,903000,22062021 09562200,PT. BANK RAKYAT INDONESIA (PERSE,PT. BANK RAKYAT INDONESIA (PERSE,CR-IB-PT. BANK RAKYAT INDONESIA (PERSERO)  TBK-BOA,BRINDEPO,null,OR,474507,482100535521,10991005641
C689153,FR0087,6.6,50000,22062021 09590200,PT. BAHANA SEKURITAS,PT BANK CIMB NIAGA TBK,CR-SC-CUSTODIAN SERVICES BANKNIAGA - INVESTOR-Bahana K,BNIAINVT-DEPO,null,OR,26274,26694462822,608584662
C689188,FR0087,6.6,35000,22062021 10055400,PT. BANK RAKYAT INDONESIA (PERSE,PT. BANK RAKYAT INDONESIA (PERSE,CR-PF-KUSTODIAN PT. BRI(PERSERO) TBK - INVESTOR-DPLK BRI,BRININVT-DEPO,null,OR,18392,18686327176,426013896
C689198,FR0087,6.6,10000,22062021 10064800,PT. PAN INDONESIA BANK,PT. PAN INDONESIA BANK,CR-IB-PT. PAN INDONESIA BANK-00,PINBDEPO,null,OR,5255,5339095765,121721565
C689206,FR0087,6.6,50000,22062021 10072000,PT. BANK PERMATA  TBK,PT. BANK PERMATA  TBK,CR-IB-PT. BANK PERMATA  TBK-00,BBBADEPO,null,OR,26274,26694462822,608584662
C689229,FR0087,6.6,50000,22062021 10091200,PT. BANK MAYBANK INDONESIA  TBK,PT. BANK MAYBANK INDONESIA  TBK,CR-IB-PT. BANK MAYBANK INDONESIA  TBK-00,IBBKDEPO,null,OR,26274,26694462822,608584662
C689233,FR0087,6.6,50000,22062021 10094500,PT. BANK MAYBANK INDONESIA  TBK,PT. BANK MAYBANK INDONESIA  TBK,CR-IB-PT. BANK MAYBANK INDONESIA  TBK-00,IBBKDEPO,null,OR,26274,26694462822,608584662
C689241,FR0087,6.6,100000,22062021 10103500,PT. BANK MAYBANK INDONESIA  TBK,PT. BANK MAYBANK INDONESIA  TBK,CR-IB-PT. BANK MAYBANK INDONESIA  TBK-00,IBBKDEPO,null,OR,52548,53388925644,1217169324
C689245,FR0087,6.6,100000,22062021 10105200,PT. BANK NEGARA INDONESIA (PERSE,PT. BANK NEGARA INDONESIA (PERSE,CR-IB-PT. BANK NEGARA INDONESIA (PERSERO)  TBK-00,BNINDEPO,null,OR,52548,53388925644,1217169324
C689258,FR0087,6.6,10000,22062021 10120300,PT. BANK MANDIRI (PERSERO)  TBK,PT. BANK MANDIRI (PERSERO)  TBK,CR-IB-PT. BANK MANDIRI (PERSERO)  TBK-00,BMRIDEPO,null,OR,5255,5339095765,121721565
C689269,FR0087,6.6,50000,22062021 10124100,PT. MANDIRI SEKURITAS,PT. BANK MANDIRI (PERSERO)  TBK,CR-SC-BANK MANDIRI SUB REGISTRY - INVESTOR-Mandiri Sekuritas,BMRIINVT-DEPO,null,OR,26274,26694462822,608584662
C689284,FR0087,6.6,10000,22062021 10132200,PT. BANK MANDIRI (PERSERO)  TBK,PT. BANK MANDIRI (PERSERO)  TBK,CR-IB-PT. BANK MANDIRI (PERSERO)  TBK-00,BMRIDEPO,null,OR,5255,5339095765,121721565
C689315,FR0087,6.6,50000,22062021 10163300,PT. BANK CENTRAL ASIA  TBK,PT. BANK CENTRAL ASIA  TBK,CR-IB-PT. BANK CENTRAL ASIA TBK-CAPITAL,CENADEPO,null,OR,26274,26694462822,608584662
C689325,FR0087,6.6,10000,22062021 10172200,PT. BANK RAKYAT INDONESIA (PERSE,PT. BANK RAKYAT INDONESIA (PERSE,CR-IB-PT. BANK RAKYAT INDONESIA (PERSERO)  TBK-BANK DKI,BRINDEPO,null,OR,5255,5339095765,121721565
C689342,FR0087,6.6,70000,22062021 10181100,PT. BANK MANDIRI (PERSERO)  TBK,PT. BANK MANDIRI (PERSERO)  TBK,CR-IB-PT. BANK MANDIRI (PERSERO)  TBK-00,BMRIDEPO,null,OR,36784,37372654352,852027792
C689346,FR0087,6.6,5000,22062021 10183800,PT. BANK PERMATA  TBK,PT. BANK PERMATA  TBK,CR-IB-PT. BANK PERMATA  TBK-00,BBBADEPO,null,OR,2627,2669039881,60849201
C689352,FR0087,6.6,30000,22062021 10190100,PT BANK OCBC NISP  TBK,PT BANK OCBC NISP  TBK,CR-IB-PT BANK OCBC NISP  TBK-00,NISPDEPO,null,OR,15764,16016271292,365141532
C689354,FR0087,6.6,50000,22062021 10191800,PT. BANK MANDIRI (PERSERO)  TBK,PT. BANK MANDIRI (PERSERO)  TBK,CR-IB-PT. BANK MANDIRI (PERSERO)  TBK-00,BMRIDEPO,null,OR,26274,26694462822,608584662
C689384,FR0087,6.6,10000,22062021 10220100,PT. MANDIRI SEKURITAS,PT. BANK MANDIRI (PERSERO)  TBK,CR-SC-BANK MANDIRI SUB REGISTRY - INVESTOR-Mandiri Sekuritas,BMRIINVT-DEPO,null,OR,5255,5339095765,121721565
C689391,FR0087,6.6,1000,22062021 10224400,PT. PAN INDONESIA BANK,PT. PAN INDONESIA BANK,CR-IB-PT. PAN INDONESIA BANK-00,PINBDEPO,null,OR,525,533401575,12160575
